country,house_style,climate_zone,plot_length_ft,plot_width_ft,num_floors,floor_height_ft,num_bedrooms,num_bathrooms,num_living_rooms,has_kitchen,has_dining,has_garage,has_garden,has_balcony,has_basement,has_swimming_pool,wall_material,roof_type,floor_material,num_windows,num_doors,window_type,quality_grade,year_built,furniture_included,furniture_style,plot_area_sqft,plot_area_cents,building_footprint,total_built_area,total_rooms,construction_cost_usd,construction_days,cost_per_sqft
USA,Contemporary,Continental,114.9,59.0,3,11,5,3,1,1,1,1,1,1,0,1,Red Brick,Hip,Granite,8,10,Floor to Ceiling,Economy,2023,0,Traditional,6779.1,15.56,4322.0,12966.0,12,1315069.0,531,101.42
Italy,Traditional,Tropical,130.5,60.4,1,11,3,4,1,1,1,1,0,0,1,1,Wood Frame,Gable,Ceramic Tile,20,10,Casement,Standard,2007,1,Rustic,7882.2,18.1,5261.0,5261.0,11,872421.0,285,165.83
Canada,Ranch,Temperate,145.6,78.7,1,10,4,3,2,1,1,1,1,0,0,0,AAC Block,Flat,Ceramic Tile,27,7,Double Hung,Standard,2022,1,Contemporary,11458.72,26.31,6635.0,6635.0,12,1444068.0,287,217.64
USA,Modern,Temperate,40.3,101.9,1,10,3,3,1,1,1,0,0,0,0,0,Stone,Hip,Hardwood,19,8,Sliding,Standard,2019,1,Rustic,4106.57,9.43,1699.0,1699.0,9,371957.0,134,218.93
USA,Cottage,Arid,31.0,37.7,3,11,1,3,2,1,1,1,1,0,1,0,Concrete Block,Gable,Hardwood,9,15,Sliding,Standard,1997,0,Contemporary,1168.7,2.68,580.0,1740.0,9,271639.0,185,156.11
USA,Colonial,Mediterranean,95.8,28.7,1,10,6,2,2,1,0,1,1,1,1,0,AAC Block,Flat,Ceramic Tile,18,12,Single Hung,Standard,2003,1,Contemporary,2749.46,6.31,1297.0,1297.0,12,284080.0,134,219.03
UK,Cottage,Tropical,61.7,100.0,2,12,5,3,1,1,0,1,0,1,0,0,Concrete Block,Hip,Hardwood,26,17,Single Hung,Premium,2022,0,Rustic,6170.0,14.16,2709.0,5418.0,11,1191632.0,270,219.94
Japan,Traditional,Arid,86.3,86.5,1,9,4,3,1,1,1,1,1,1,0,0,Wood Frame,Mansard,Marble,12,13,Floor to Ceiling,Premium,1963,0,Rustic,7464.95,17.14,3119.0,3119.0,11,742808.0,167,238.16
India,Cottage,Temperate,38.7,103.0,2,11,3,3,1,1,1,1,1,1,1,1,Concrete Block,Gable,Laminate,18,14,Floor to Ceiling,Economy,1982,1,Rustic,3986.1000000000004,9.15,1904.0,3808.0,10,266442.0,255,69.97
UK,Traditional,Arid,90.2,117.8,2,10,3,3,1,1,1,1,0,1,0,0,Stone,Flat,Ceramic Tile,18,13,Sliding,Premium,1979,0,Contemporary,10625.56,24.39,6516.0,13032.0,10,5284176.0,499,405.48
Australia,Mediterranean,Arid,45.0,48.9,1,10,2,1,1,1,1,0,1,0,0,1,Steel Frame,Shed,Hardwood,14,19,Double Hung,Economy,2004,0,Minimalist,2200.5,5.05,1319.0,1319.0,6,271407.0,148,205.77
USA,Mediterranean,Tropical,130.6,43.5,1,10,2,2,1,1,1,1,1,1,1,0,Steel Frame,Hip,Ceramic Tile,11,6,Single Hung,Standard,1992,0,Traditional,5681.099999999999,13.04,2603.0,2603.0,8,537876.0,172,206.64
UK,Craftsman,Tropical,121.1,57.4,1,12,3,3,1,1,0,1,1,1,0,0,Wood Frame,Flat,Laminate,11,18,Double Hung,Standard,1995,0,Traditional,6951.139999999999,15.96,4565.0,4565.0,9,691491.0,221,151.48
UK,Craftsman,Tropical,38.9,108.4,2,9,4,3,1,1,1,1,1,1,0,0,Red Brick,Gable,Hardwood,11,17,Floor to Ceiling,Premium,2005,1,Minimalist,4216.76,9.68,2711.0,5422.0,11,1636619.0,265,301.85
India,Cottage,Mediterranean,130.4,26.3,2,10,4,2,1,1,1,0,0,1,1,0,Wood Frame,Shed,Laminate,18,11,Floor to Ceiling,Standard,1972,1,Minimalist,3429.5200000000004,7.87,2104.0,4208.0,9,296395.0,239,70.44
Spain,Minimalist,Arid,69.0,26.0,1,12,4,3,2,1,1,1,1,0,0,1,Red Brick,Gable,Vinyl,6,15,Sliding,Standard,1974,0,Contemporary,1794.0,4.12,1222.0,1222.0,12,203211.0,149,166.29
USA,Cottage,Arid,72.3,45.6,2,10,2,2,1,1,1,1,1,0,1,0,Wood Frame,Flat,Ceramic Tile,7,9,Single Hung,Premium,2015,1,Rustic,3296.88,7.57,1652.0,3304.0,8,834921.0,210,252.7
India,Cottage,Mediterranean,51.6,60.7,1,11,5,4,2,1,1,1,1,1,0,0,Steel Frame,Mansard,Ceramic Tile,18,16,Double Hung,Luxury,2011,1,Minimalist,3132.1200000000003,7.19,2151.0,2151.0,14,253281.0,142,117.75
Japan,Minimalist,Temperate,130.2,53.7,2,12,5,3,2,1,1,1,1,1,0,0,Concrete Block,Hip,Hardwood,25,13,Sliding,Luxury,1991,0,Contemporary,6991.74,16.05,3448.0,6896.0,13,2680608.0,314,388.72
USA,Colonial,Continental,78.6,103.4,1,9,2,3,1,1,0,1,1,1,0,0,Red Brick,Gable,Ceramic Tile,21,11,Double Hung,Economy,1970,1,Rustic,8127.24,18.66,5525.0,5525.0,8,777456.0,250,140.72
Australia,Contemporary,Temperate,35.9,90.5,1,10,3,2,1,1,0,1,1,1,0,0,Wood Frame,Hip,Ceramic Tile,26,9,Casement,Standard,1987,0,Modern,3248.95,7.46,2203.0,2203.0,8,347817.0,152,157.88
USA,Minimalist,Mediterranean,145.9,104.6,1,10,3,2,1,1,0,1,1,1,0,1,Wood Frame,Shed,Granite,26,18,Single Hung,Standard,1983,1,Minimalist,15261.14,35.03,7457.0,7457.0,8,1100788.0,323,147.62
USA,Traditional,Arid,60.7,61.5,2,11,4,1,1,1,1,0,1,1,1,0,Red Brick,Flat,Marble,28,15,Floor to Ceiling,Luxury,1968,1,Contemporary,3733.05,8.57,2553.0,5106.0,8,1603078.0,270,313.96
Germany,Contemporary,Arid,142.3,81.6,1,9,5,3,1,1,1,1,1,1,0,1,Concrete Block,Gable,Vinyl,7,19,Casement,Standard,2019,0,Contemporary,11611.68,26.66,5468.0,5468.0,12,927686.0,263,169.66
Italy,Modern,Tropical,66.1,74.0,2,10,3,1,1,1,1,1,1,1,0,0,Concrete Block,Gable,Ceramic Tile,26,17,Sliding,Standard,1966,0,Rustic,4891.4,11.23,2323.0,4646.0,8,802275.0,241,172.68
Spain,Colonial,Tropical,129.8,70.1,3,9,2,2,1,1,1,1,1,0,0,1,Red Brick,Gable,Laminate,22,14,Single Hung,Economy,1970,0,Modern,9098.98,20.89,5027.0,15081.0,8,1414472.0,592,93.79
UK,Modern,Arid,109.7,52.4,2,11,2,4,1,1,0,1,1,1,1,0,Wood Frame,Hip,Ceramic Tile,25,15,Single Hung,Premium,2002,0,Traditional,5748.28,13.2,3221.0,6442.0,9,1495178.0,302,232.1
USA,Craftsman,Arid,133.4,92.4,3,10,4,3,1,1,1,1,0,1,1,0,Concrete Block,Mansard,Ceramic Tile,17,11,Single Hung,Standard,1961,1,Traditional,12326.160000000002,28.3,7352.0,22056.0,11,3095437.0,801,140.34
France,Victorian,Tropical,147.1,74.8,3,10,3,4,1,1,0,1,1,1,0,0,Steel Frame,Shed,Vinyl,10,19,Casement,Premium,1984,0,Contemporary,11003.08,25.26,5037.0,15111.0,10,5061944.0,565,334.98
India,Mediterranean,Tropical,134.6,32.5,1,11,5,1,1,1,1,1,1,0,1,0,Wood Frame,Gable,Hardwood,17,19,Double Hung,Economy,2002,1,Contemporary,4374.5,10.04,2828.0,2828.0,10,192920.0,183,68.22
USA,Modern,Temperate,78.4,25.0,1,11,6,4,1,1,0,1,1,0,1,0,Wood Frame,Gable,Hardwood,21,17,Single Hung,Standard,1970,0,Minimalist,1960.0000000000002,4.5,1001.0,1001.0,13,192417.0,131,192.22
India,Ranch,Arid,127.7,26.9,2,10,5,5,1,1,1,1,1,0,1,1,Wood Frame,Gable,Laminate,18,18,Double Hung,Standard,1960,1,Contemporary,3435.13,7.89,1376.0,2752.0,14,193494.0,218,70.31
USA,Cottage,Arid,115.4,32.2,2,10,2,4,1,1,1,1,1,0,1,0,Concrete Block,Flat,Granite,20,19,Casement,Standard,1969,0,Traditional,3715.8800000000006,8.53,2041.0,4082.0,10,656398.0,236,160.8
Germany,Traditional,Mediterranean,37.4,60.2,3,10,3,2,2,1,1,1,0,0,1,0,Red Brick,Hip,Granite,20,18,Double Hung,Standard,2022,0,Minimalist,2251.48,5.17,1192.0,3576.0,10,689159.0,249,192.72
UK,Modern,Temperate,141.6,54.0,1,11,3,1,1,1,1,1,1,1,1,0,Concrete Block,Hip,Hardwood,14,12,Double Hung,Standard,1963,0,Contemporary,7646.4,17.55,3613.0,3613.0,8,653331.0,206,180.83
Australia,Modern,Continental,85.9,39.9,2,11,2,4,2,1,1,0,1,0,0,1,Red Brick,Hip,Laminate,13,16,Sliding,Standard,2022,1,Modern,3427.4100000000003,7.87,1461.0,2922.0,10,545167.0,210,186.57
UK,Victorian,Continental,46.1,74.0,2,10,5,2,2,1,1,1,1,1,0,0,Steel Frame,Hip,Ceramic Tile,8,11,Floor to Ceiling,Standard,1967,1,Contemporary,3411.4,7.83,2170.0,4340.0,12,1148445.0,221,264.62
Japan,Craftsman,Continental,81.0,117.2,3,10,5,3,1,1,1,1,1,0,0,0,Red Brick,Flat,Granite,23,15,Double Hung,Standard,1997,1,Minimalist,9493.2,21.79,6042.0,18126.0,12,4680776.0,665,258.24
Japan,Cottage,Tropical,102.4,40.3,2,9,3,3,2,1,1,0,1,1,1,0,Red Brick,Hip,Vinyl,21,19,Single Hung,Premium,2022,0,Minimalist,4126.72,9.47,2570.0,5140.0,10,1431208.0,274,278.45
USA,Cottage,Continental,98.8,48.8,1,12,6,5,1,1,1,1,1,1,1,0,Red Brick,Flat,Ceramic Tile,12,13,Double Hung,Standard,2009,1,Modern,4821.44,11.07,2210.0,2210.0,15,471095.0,166,213.17
Italy,Victorian,Mediterranean,99.0,68.9,1,11,4,3,1,1,0,0,1,1,1,0,Wood Frame,Hip,Hardwood,14,19,Single Hung,Standard,2012,1,Minimalist,6821.1,15.66,4667.0,4667.0,9,805893.0,239,172.68
Spain,Minimalist,Tropical,60.7,85.9,3,10,3,2,1,1,1,0,1,1,0,0,Concrete Block,Gable,Laminate,9,11,Double Hung,Standard,1981,1,Contemporary,5214.130000000001,11.97,3311.0,9933.0,8,1253308.0,427,126.18
Germany,Victorian,Tropical,105.9,82.0,3,10,3,3,2,1,1,1,1,1,0,1,Red Brick,Gable,Ceramic Tile,6,15,Single Hung,Standard,1973,1,Traditional,8683.800000000001,19.94,4523.0,13569.0,11,2931595.0,560,216.05
Germany,Ranch,Continental,138.9,74.5,2,9,3,3,1,1,1,0,1,1,0,0,Wood Frame,Gable,Marble,22,18,Floor to Ceiling,Standard,2024,1,Modern,10348.050000000001,23.76,7003.0,14006.0,9,2827730.0,511,201.89
Japan,Contemporary,Tropical,76.6,95.0,2,10,3,3,1,1,1,1,1,0,1,0,Concrete Block,Gable,Ceramic Tile,17,6,Casement,Economy,1965,1,Modern,7276.999999999999,16.71,4913.0,9826.0,10,1435933.0,403,146.14
Germany,Ranch,Temperate,105.7,105.4,1,10,2,3,2,1,1,1,1,1,1,1,AAC Block,Hip,Hardwood,9,7,Sliding,Standard,2013,1,Rustic,11140.78,25.58,6582.0,6582.0,10,1684353.0,312,255.9
USA,Victorian,Temperate,59.3,119.9,2,12,3,1,1,1,1,0,1,1,1,0,AAC Block,Hip,Laminate,14,5,Double Hung,Standard,2015,0,Contemporary,7110.07,16.32,3026.0,6052.0,7,922141.0,302,152.37
USA,Mediterranean,Continental,35.8,69.2,3,10,3,5,1,1,1,1,1,1,0,0,Stone,Gable,Vinyl,27,8,Casement,Standard,2007,1,Rustic,2477.36,5.69,1009.0,3027.0,12,828927.0,211,273.84
USA,Minimalist,Mediterranean,100.3,119.5,1,10,5,2,1,1,1,0,1,1,1,0,Concrete Block,Shed,Laminate,8,8,Floor to Ceiling,Standard,1988,1,Contemporary,11985.85,27.52,5654.0,5654.0,10,924373.0,272,163.49
UK,Mediterranean,Tropical,35.7,94.4,2,11,3,3,1,1,1,1,1,0,0,1,Steel Frame,Mansard,Ceramic Tile,10,10,Sliding,Premium,1985,0,Rustic,3370.0800000000004,7.74,1939.0,3878.0,10,1297632.0,240,334.61
India,Ranch,Arid,116.8,87.4,2,10,5,1,2,1,0,1,1,1,1,0,Red Brick,Flat,Hardwood,11,5,Single Hung,Standard,1961,0,Traditional,10208.32,23.44,4781.0,9562.0,10,482013.0,394,50.41
UK,Cottage,Continental,110.4,85.8,2,9,6,2,1,1,1,1,1,0,1,0,AAC Block,Shed,Marble,23,11,Floor to Ceiling,Standard,2013,1,Contemporary,9472.32,21.75,6473.0,12946.0,12,2916576.0,495,225.29
Canada,Ranch,Tropical,74.3,111.5,2,11,4,3,1,1,0,1,1,1,1,0,Wood Frame,Flat,Ceramic Tile,24,10,Sliding,Standard,1961,1,Minimalist,8284.449999999999,19.02,3524.0,7048.0,10,1274444.0,329,180.82
UK,Colonial,Continental,79.4,115.1,2,10,2,3,2,1,1,1,1,1,0,0,AAC Block,Gable,Marble,10,9,Floor to Ceiling,Premium,1991,1,Contemporary,9138.94,20.98,4360.0,8720.0,10,2725072.0,367,312.51
UK,Craftsman,Continental,140.1,42.0,1,12,3,3,1,1,1,1,1,0,0,0,Steel Frame,Gable,Hardwood,15,10,Casement,Economy,1988,0,Modern,5884.2,13.51,3259.0,3259.0,10,630062.0,168,193.33
Japan,Traditional,Mediterranean,31.6,71.9,1,10,5,2,1,1,1,1,0,0,1,1,Red Brick,Gable,Ceramic Tile,19,6,Casement,Standard,1961,1,Modern,2272.0400000000004,5.22,1330.0,1330.0,11,361568.0,150,271.86
USA,Colonial,Arid,97.6,114.4,2,10,3,5,1,1,1,1,1,1,1,0,Wood Frame,Gable,Ceramic Tile,27,6,Double Hung,Standard,2011,1,Traditional,11165.44,25.63,5757.0,11514.0,12,1556281.0,459,135.16
Spain,Victorian,Tropical,140.8,61.3,3,10,5,3,1,1,0,1,1,1,0,0,Concrete Block,Gable,Marble,9,10,Single Hung,Premium,2002,1,Contemporary,8631.04,19.81,5368.0,16104.0,11,2941514.0,609,182.66
USA,Modern,Continental,139.7,47.1,1,10,4,3,2,1,1,1,1,0,1,0,Red Brick,Mansard,Ceramic Tile,12,5,Double Hung,Standard,1994,1,Minimalist,6579.87,15.11,3821.0,3821.0,12,714078.0,211,186.88
Italy,Mediterranean,Continental,100.2,34.8,1,12,2,2,1,1,1,1,1,1,0,0,Red Brick,Flat,Granite,8,12,Single Hung,Economy,2022,0,Minimalist,3486.96,8.0,1839.0,1839.0,8,244986.0,127,133.22
Spain,Contemporary,Tropical,75.7,81.7,2,10,3,2,2,1,0,1,1,1,1,0,Red Brick,Shed,Ceramic Tile,23,7,Single Hung,Premium,2018,0,Minimalist,6184.6900000000005,14.2,2574.0,5148.0,9,922080.0,265,179.11
USA,Colonial,Continental,41.9,91.5,1,10,4,3,1,1,1,1,1,0,0,0,Red Brick,Flat,Ceramic Tile,17,8,Single Hung,Premium,1979,0,Minimalist,3833.85,8.8,1921.0,1921.0,11,390501.0,130,203.28
USA,Minimalist,Continental,50.9,43.6,1,9,2,2,1,1,1,0,1,0,0,0,AAC Block,Hip,Vinyl,27,8,Double Hung,Premium,1998,1,Contemporary,2219.2400000000002,5.09,1033.0,1033.0,7,258607.0,107,250.35
Canada,Mediterranean,Continental,111.6,89.0,2,12,3,3,1,1,1,1,1,1,1,0,Steel Frame,Hip,Ceramic Tile,11,8,Single Hung,Economy,2023,0,Traditional,9932.4,22.8,5271.0,10542.0,10,1510517.0,427,143.29
France,Colonial,Temperate,32.0,110.5,2,11,2,2,1,1,1,1,1,1,0,0,Red Brick,Flat,Vinyl,29,10,Casement,Economy,2016,0,Modern,3536.0,8.12,1571.0,3142.0,8,384334.0,189,122.32
France,Cottage,Temperate,136.0,48.1,1,10,3,4,1,1,1,1,1,1,0,0,Red Brick,Gable,Marble,11,19,Sliding,Standard,1980,1,Modern,6541.6,15.02,3069.0,3069.0,11,696703.0,173,227.01
Spain,Traditional,Arid,100.6,36.6,3,9,3,3,2,1,1,1,0,0,0,0,Concrete Block,Hip,Vinyl,19,11,Single Hung,Premium,1960,1,Contemporary,3681.96,8.45,2450.0,7350.0,11,1248719.0,343,169.89
USA,Ranch,Mediterranean,35.4,104.4,1,9,3,2,2,1,1,0,1,1,0,0,Steel Frame,Flat,Hardwood,18,9,Single Hung,Premium,1977,1,Rustic,3695.76,8.48,2489.0,2489.0,9,631780.0,163,253.83
UK,Ranch,Tropical,58.8,112.1,1,9,5,1,1,1,1,1,1,1,0,0,Wood Frame,Shed,Vinyl,18,8,Casement,Premium,1960,1,Traditional,6591.48,15.13,2919.0,2919.0,10,770415.0,159,263.93
USA,Colonial,Mediterranean,101.3,45.4,2,10,3,5,1,1,1,0,1,1,1,0,Red Brick,Flat,Vinyl,20,17,Single Hung,Standard,2018,0,Traditional,4599.0199999999995,10.56,3153.0,6306.0,11,969316.0,301,153.71
Canada,Victorian,Mediterranean,34.3,93.5,2,11,5,2,2,1,1,1,0,1,0,0,Red Brick,Hip,Vinyl,11,18,Sliding,Standard,2007,1,Modern,3207.0499999999997,7.36,2062.0,4124.0,12,703801.0,219,170.66
Australia,Minimalist,Temperate,123.6,81.1,3,10,4,3,1,1,1,1,1,1,0,1,AAC Block,Gable,Laminate,16,19,Sliding,Premium,1987,1,Traditional,10023.96,23.01,6572.0,19716.0,11,6312667.0,731,320.18
UK,Victorian,Arid,140.4,47.7,1,10,4,2,1,1,1,0,1,1,0,0,Red Brick,Shed,Hardwood,25,5,Casement,Premium,2017,1,Traditional,6697.080000000001,15.37,3267.0,3267.0,9,837764.0,187,256.43
USA,Mediterranean,Mediterranean,145.3,103.2,1,10,4,3,2,1,1,1,1,0,1,0,Steel Frame,Hip,Ceramic Tile,20,7,Single Hung,Luxury,2013,1,Contemporary,14994.960000000001,34.42,6813.0,6813.0,12,2731421.0,291,400.91
UK,Craftsman,Mediterranean,118.0,69.7,1,9,3,3,1,1,1,1,1,0,1,0,Wood Frame,Flat,Vinyl,25,16,Floor to Ceiling,Premium,2002,0,Traditional,8224.6,18.88,4098.0,4098.0,10,894398.0,219,218.25
UK,Traditional,Continental,132.8,91.5,1,9,3,1,1,1,1,1,0,1,0,0,Red Brick,Hip,Ceramic Tile,19,13,Sliding,Standard,1968,0,Minimalist,12151.2,27.9,5929.0,5929.0,8,1130828.0,258,190.73
France,Traditional,Tropical,103.3,53.6,2,10,6,1,1,1,1,1,1,0,0,0,Red Brick,Gable,Vinyl,29,18,Casement,Premium,2024,0,Minimalist,5536.88,12.71,3187.0,6374.0,11,1554991.0,284,243.96
Australia,Ranch,Arid,85.0,102.5,2,10,4,5,1,1,1,1,1,1,0,0,Red Brick,Flat,Ceramic Tile,15,18,Double Hung,Premium,1978,0,Modern,8712.5,20.0,5408.0,10816.0,13,2284316.0,431,211.2
Canada,Traditional,Tropical,115.6,50.1,2,10,3,4,2,1,1,0,1,1,0,0,Wood Frame,Shed,Marble,29,9,Casement,Standard,2017,1,Contemporary,5791.5599999999995,13.3,2384.0,4768.0,11,741338.0,243,155.48
India,Victorian,Temperate,56.9,59.7,3,9,4,2,1,1,0,1,1,1,1,0,Concrete Block,Gable,Ceramic Tile,10,14,Floor to Ceiling,Standard,2019,0,Minimalist,3396.9300000000003,7.8,2008.0,6024.0,9,223168.0,322,37.05
USA,Minimalist,Mediterranean,43.2,62.2,2,11,4,3,2,1,0,1,0,1,1,0,Concrete Block,Hip,Granite,11,6,Casement,Economy,1971,1,Traditional,2687.0400000000004,6.17,1089.0,2178.0,11,259511.0,171,119.15
France,Minimalist,Mediterranean,121.4,44.6,2,11,2,5,1,1,1,0,1,1,0,0,AAC Block,Flat,Marble,26,9,Single Hung,Economy,1981,1,Contemporary,5414.4400000000005,12.43,3043.0,6086.0,10,955645.0,288,157.02
Spain,Ranch,Tropical,145.0,108.1,1,10,2,3,1,1,0,0,0,1,0,0,Wood Frame,Gable,Hardwood,27,8,Casement,Standard,2024,1,Contemporary,15674.5,35.98,9027.0,9027.0,7,1366254.0,348,151.35
Japan,Colonial,Temperate,99.3,35.8,2,10,1,3,1,1,1,1,1,1,1,0,Steel Frame,Flat,Ceramic Tile,20,17,Casement,Premium,1983,1,Rustic,3554.9399999999996,8.16,2331.0,4662.0,8,1898435.0,252,407.21
Spain,Minimalist,Continental,87.9,78.5,2,10,2,1,1,1,1,1,1,1,1,0,Stone,Flat,Marble,14,11,Sliding,Economy,2009,0,Traditional,6900.150000000001,15.84,3873.0,7746.0,7,1016580.0,346,131.24
India,Victorian,Continental,94.1,102.3,2,10,2,3,1,1,1,0,1,1,1,1,Wood Frame,Flat,Hardwood,19,18,Casement,Standard,2009,1,Contemporary,9626.429999999998,22.1,6584.0,13168.0,8,880492.0,530,66.87
Japan,Modern,Mediterranean,87.4,80.2,2,11,3,4,1,1,1,1,0,1,1,1,Concrete Block,Flat,Granite,10,17,Casement,Standard,1988,0,Rustic,7009.4800000000005,16.09,4541.0,9082.0,11,1542727.0,411,169.87
India,Colonial,Mediterranean,83.1,56.1,1,11,3,3,1,1,1,0,1,0,1,0,Concrete Block,Gable,Vinyl,19,8,Sliding,Premium,1996,1,Modern,4661.91,10.7,2135.0,2135.0,9,191941.0,162,89.9
USA,Craftsman,Arid,143.6,99.2,1,10,1,4,1,1,1,1,1,1,1,1,AAC Block,Mansard,Ceramic Tile,25,13,Sliding,Premium,1971,0,Contemporary,14245.119999999999,32.7,7181.0,7181.0,9,1541734.0,328,214.7
USA,Contemporary,Tropical,87.6,72.4,2,9,3,4,1,1,1,1,1,1,0,0,Concrete Block,Hip,Ceramic Tile,20,18,Floor to Ceiling,Standard,2007,0,Traditional,6342.24,14.56,2998.0,5996.0,11,786991.0,276,131.25
USA,Cottage,Mediterranean,39.7,40.5,2,10,4,3,1,1,1,1,0,1,0,0,Steel Frame,Flat,Vinyl,22,7,Floor to Ceiling,Luxury,2018,0,Rustic,1607.8500000000001,3.69,758.0,1516.0,11,662453.0,149,436.97
Australia,Traditional,Temperate,121.9,55.1,3,9,3,3,2,1,1,0,1,0,0,0,Wood Frame,Gable,Vinyl,13,14,Sliding,Standard,2016,1,Modern,6716.6900000000005,15.42,2748.0,8244.0,10,1424495.0,369,172.79
UK,Traditional,Tropical,77.0,81.2,3,10,3,4,1,1,1,1,1,1,1,0,Red Brick,Gable,Vinyl,28,5,Floor to Ceiling,Economy,1970,1,Contemporary,6252.400000000001,14.35,4338.0,13014.0,11,2080157.0,524,159.84
India,Modern,Arid,115.3,87.6,1,10,3,2,2,1,1,0,1,1,0,0,AAC Block,Hip,Hardwood,26,16,Casement,Standard,2018,0,Rustic,10100.279999999999,23.19,4396.0,4396.0,9,202942.0,207,46.17
Germany,Colonial,Continental,99.5,77.1,2,11,3,3,1,1,1,1,1,1,1,1,Wood Frame,Gable,Ceramic Tile,29,14,Casement,Economy,2014,0,Modern,7671.45,17.61,5078.0,10156.0,10,1303481.0,452,128.35
USA,Ranch,Arid,115.6,50.8,3,10,3,3,1,1,1,1,1,1,0,0,Concrete Block,Hip,Laminate,27,5,Casement,Economy,2011,0,Minimalist,5872.48,13.48,3873.0,11619.0,10,1052692.0,473,90.6
India,Victorian,Tropical,37.4,81.4,3,9,2,3,1,1,1,1,1,1,1,0,Red Brick,Hip,Ceramic Tile,25,14,Double Hung,Economy,2008,1,Traditional,3044.36,6.99,1810.0,5430.0,9,288107.0,297,53.06
Spain,Modern,Continental,34.1,56.6,1,9,3,3,1,1,1,1,0,1,0,0,Red Brick,Gable,Ceramic Tile,20,16,Casement,Economy,1977,1,Traditional,1930.0600000000002,4.43,1252.0,1252.0,10,154328.0,116,123.27
USA,Cottage,Temperate,75.4,46.4,2,10,4,3,1,1,1,1,1,1,1,1,Red Brick,Gable,Ceramic Tile,7,11,Floor to Ceiling,Standard,1967,0,Traditional,3498.56,8.03,1553.0,3106.0,11,608450.0,228,195.9
USA,Minimalist,Continental,113.2,114.8,1,10,5,4,2,1,1,1,1,0,0,0,AAC Block,Hip,Vinyl,7,10,Casement,Premium,1962,1,Minimalist,12995.36,29.83,6361.0,6361.0,14,1697619.0,275,266.88
UK,Ranch,Continental,56.8,54.9,2,11,3,4,1,1,0,0,1,1,0,0,Concrete Block,Hip,Ceramic Tile,9,17,Casement,Premium,1966,1,Rustic,3118.3199999999997,7.16,2182.0,4364.0,9,911904.0,232,208.96
USA,Contemporary,Temperate,82.0,56.9,2,12,6,2,1,1,1,1,0,0,0,1,Steel Frame,Hip,Hardwood,9,13,Sliding,Standard,1977,1,Minimalist,4665.8,10.71,3150.0,6300.0,12,1200211.0,315,190.51
